01;Operación de régimen general.;
02;Exportación.;
03;Operaciones a las que se aplique el régimen especial de bienes usados, objetos de arte, antigüedades y objetos de colección (135-139 LIVA).;
04;Régimen especial oro de inversión.;
05;Régimen especial agencias de viajes.;
06;Régimen especial grupo de entidades en IVA (Nivel Avanzado).;
07;Régimen especial criterio de caja.;
08;Operaciones sujetas al IPSI / IGIC.;
09;Facturación de las prestaciones de servicios de agencias de viaje que actúan como mediadoras en nombre y por cuenta ajena (D.A.4ª RD1619/2012).;
10;Cobros por cuenta de terceros de honorarios profesionales o de derechos derivados de la propiedad industrial, de autor u otros por cuenta de sus socios, asociados o colegiados efectuados por sociedades, asociaciones, colegios profesionales u otras entidades que realicen estas funciones de cobro.;
11;Operaciones de arrendamiento de local de negocio sujetas a retención.;
12;Operaciones de arrendamiento de local de negocio no sujetos a retención.;
13;Operaciones de arrendamiento de local de negocio sujetas y no sujetas a retención.;
14;Factura con IVA pendiente de devengo (certificaciones de obra cuyo destinatario sea una Administración Pública).;
15;Factura con IVA pendiente de devengo - operaciones de tracto sucesivo.;
