EXW;En Fábrica;Ex Works
FCA;Franco transportista;Free carrier
FAS;Franco al costado del buque;Free alongside ship
FOB;Franco a bordo;Free on board
CFR;Coste y flete (C&F);Cost and freight
CIF;Coste seguro y flete (CIF);Cost, insurance and freight
CPT;Porte pagado hasta;Carriage paid to
CIP;Porte y seguro pagado incluidos hasta;Carriage and insurance paid to
DAT;Entregado en terminal;Delivered at terminal
DAP;Entregado en lugar convenido;Delivered at place
DDP;Franco despacho en aduanas;Delivered duty paid
