AL;ALAMEDA;
AD;ALDEA;
AP;APARTAMENTO;
AR;AREA,ARRABAL;
AY;ARROYO;
AV;AVENIDA;
BJ;BAJADA;
BR;BARRANCO;
BO;BARRIO;
BL;BLOQUE;
CL;CALLE;
CJ;CALLEJA;
CM;CAMINO;
CR;CARRETERA;
CS;CASERIO;
CG;COLEGIO;
CO;COLONIA;
CN;CONJUNTO;
CT;CUESTA;
CH;CHALET;
ED;EDIFICIO;
EN;ENTRADA;
ES;ESCALINATA;
EX;EXPLANADA;
EM;EXTRAMUROS;
ER;EXTRARRADIO;
FC;FERROCARRIL;
GL;GLORIETA;
GV;GRAN;VIA
GR;GRUPO;
HT;HUERTA;
JR;JARDINES;
LD;LADO;
LG;LUGAR;
MZ;MANZANA;
MS;MASIA;
MC;MERCADO;
MT;MONTE;
ML;MUELLE;
MN;MUNICIPIO;
PA;PARCELA;
PQ;PARQUE;
PD;PARTIDA;
PJ;PASAJE;
PS;PASEO;
PZ;PLAZA;
PB;POBLADO;
PG;POLIGONO;
PR;PROLONGACION;
PT;PUENTE;
PU;PUERTA;
QT;QUINTA;
RM;RAMAL;
RB;RAMBLA;
RP;RAMPA;
RR;RIERA;
RC;RINCON;
RD;RONDA;
RU;RUA;
SA;SALIDA;
SC;SECTOR,SECCION;
SD;SENDA;
SL;SOLAR,SALON;
SB;SUBIDA;
TN;TERRENOS;
TO;TORRENTE;
TR;TRAVESIA;
UR;URBANIZACION;
VI;VIA;
VP;VIA P�BLICA;
